URL,Descriptions
http://www.texplast.co.ke/,"Texplast Industries Ltd., a private limited company incorporated in Kenya, East. 
Africa, is a leading manufacturer of Polypropylene Woven and Laminated. Sacks
 ..."
https://www.kenyaplex.com/business-directory/88962-rift-valley-bottlers-ltd-eldoret.aspx,"Rift Valley Bottlers ltd, Eldoret. Address:P. O BOX 51- 30100; City/Town: Eldoret; 
Telephone Number: Email Address: info@riftvalleybottlers.co.ke; Website: ..."
https://www.fuzu.com/company/kilifi-plantations-limited,"About. Kilifi plantations Ltd is located at 360˚N within Kilifi County. Established in 
1920 as a sisal plantation, it was privately bought in 1963 and today remains ..."
https://www.linkedin.com/company/equator-bottlers,"Learn about working at Equator Bottlers. Join LinkedIn today for free. See who 
you know at Equator Bottlers, leverage your professional network, and get hired."
https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=303692798,"Sameer Agriculture and Livestock Limited company research & investing 
information. Find executives and the latest company news."
http://remotesitesolutions.com/,"Leading camp solutions provider ... Remote Site Solutions, your partner to 
outsourced requirements, provides a professional alternative for discerning 
clients ..."
https://www.facebook.com/Pembe-Flour-Mills-Ltd-421661574695811/,"Pembe Flour Mills Ltd. 715 likes · 14 talking about this · 254 were here. Pembe 
Floor Mills Ltd is one of the Kenya's leading manufacture of Flour..."
http://www.tatachemicals.com/magadi/,"Tata Chemicals Magadi is Africa's largest soda ash manufacturer and one of ... 
Tata Chemicals Magadi Limited (TCML) announces proposal to mothball its ...Just as significant, the company is an important part of the socio ...Company profile · Arrow In this section Management · Arrow In ...Tata Chemicals Magadi produces common salt from the brines of ...About us. Home · Geographies · Magadi; About us. art 00 ...Company profile; Arrow In this section Management; Arrow In ...Chemicals; Industrial salt. Choose the region from the dropdown to ..."
https://www.sidianbank.co.ke/,"Contact us. Sidian Bank Head Offices, K-Rep Centre, Wood Avenue, Kilimani, 
P.O. Box 25363-00603, Nairobi, Kenya. Email: talktous@sidianbank.co.ke"
http://www.twigachemicals.com/,"Twiga chemical! - Twiga chemical. ... `;/p. Twiga Chemicals kenya. Home · Our 
Divisions · Media ... Twiga Chemical Industries Limited. All Rights Reserved."
http://www.baobab-beach-resort.com/,"Joomla! - the dynamic portal engine and content management system.In a World of its own - Relax on one of the cleanest beaches on ...The Baobab's accommodation has been designed with luxury in ...Contact us. Diani Beach, PO Box 32 - 80400, Ukunda, KENYA Tel ...Located on the world famous Diani ... Baobab Beach Resort & Spa ..."
http://www.sos-childrensvillages.org/where-we-help/africa/kenya,"SOS Children's Villages in Kenya is supporting children within their community 
and in their familiar environment. Apart from giving children a new home in our ..."
https://home.kuehne-nagel.com/,"With over 70000 employees at more than 1300 locations in over 100 countries, 
the Kuehne + Nagel Group is one of the world's leading logistics companies."
https://www.facebook.com/metroplasticskenyaltd/,"Metro Plastics Kenya Ltd, Nairobi Industrial Area, Nairobi Area, Kenya. 3.1K likes. 
Manufacturers of Quality PVC Pipes, Fittings & Accessories."
https://www.facebook.com/Milly-Glass-Works-Limited-Mombasa-556282741106025/,"Milly Glass Works Limited - Mombasa. 80 likes. The Leading glass containers 
and Tableware Manufacturer in East Africa - Based In Mombasa - Kenya."
http://www.kenya-aerotech.com/,"Kenya-Aerotech Ltd., Jomo Kenyatta International Airport P.O. Box 19222-00501 
Nairobi Kenya. Sita: NBOKZXH, www.kenya-aerotech.com, Facebook: Kenya ...HEAD OFFICE Jomo Kenyatta International Airport P.O. Box ...Explore our careers. No openings currently. Continue checking ...Company Profile. Picture. Established in 1971, Kenya ...About Kenya Aerotech Ltd. Picture. Kenya Aerotech was ...Corporate Information Kenya Aerotech was established in ...Passenger Check-In; Arrival and Transfer services; VIP Services ..."
http://www.mariestopes.or.ke/,"We provide quality, innovative and integrated Reproductive Health services to all 
people of reproductive age. Our motto is Children by choice, not chance."
,
https://www.kicd.ac.ke/,"The Kenya Institute of Curriculum Development (KICD) is an Institute ... conduct 
research and develop curricular for all levels of education below the university."
https://www.crownpaints.co.ke/,"We are the leading paints and coating solutions Company in the East African 
region. Driven by the vision to be the most preferred innovative and colorful 
brand,Contact Us. Do you have a building project in mind? We ...We are the leading paints and coating solutions Company in ...Emulsion Water Based; Floor Paints; Gloss / Oil Based Paints ...Crown Paints color chart. Colour Chart. General Colour Chart ...Established in 1958, Crown has grown to a company with an ...Crown Paints Price List. Price List – Decorative · Price List ..."
http://www.is.co.ke/,"Our company. « Back. Our company · Who we are. « Back. Who we are · Our 
history · Our people · What we do · Our locations · Our solutions. « Back."
http://www.kemsa.co.ke/,"Kenya Medical Supplies Authority (KEMSA) is a state corporation under the 
Ministry of ... Medical supplies tender notifications are published in the website as
 ...KEMSA/KHSSP-OIT-01/2016-2017, Tender Document For the ...Kenya Medical Supplies Authority (KEMSA) is a state corporation ...Working hours: 24 Hours. +254 0719 033000 | 020 3922000 ...The warehouse plays one of the key activities in supply chain by ...Supply Chain Management encompasses the planning and ...Tender Notices |. KEMSA/KHSSP-OIT-01/2016-2017: TENDER ..."
http://www.mjengo.com/,"Over time, Mjengo Limited grew into one of Kenya's largest Trading Companies 
dealing with Agro Commodity products and further added on Distribution lines ...Contact Us. Mjengo Limited. P.O. Box 1536, 01000, Thika, Kenya ...Company Profile & History. Who we are. Mjengo Limited was ...Our Company ... To be East Africa's leading Company, satisfying ...There are currently no vacancies for now. Kindly check back later.Our Brands. Daawat; Nuvita; 224. daawat_aromatic_rice. Daawat ...Food Supplements. Health Care & Foods. dabur-healthcare ..."
http://www.manchester-outfitters.com/,"Manchester Outfitters (E.A.) Limited has led to the corporate clothing field in the 
region over the past 50 Years.Established in 1954 we have not only specialized ..."
http://www.is.co.ke/,"Internet Solutions Kenya An African partner with global reach. View Map ... With 
our Connectivity, Cloud Computing and Communication solutions, we offer your ...We want to hear from you. Get in touch with us or search for our ...Visit our site for some promising IT careers with Internet Solutions.The world is changing. At the core of our business are innovation ...Internet Solutions has some of the best minds in the business. Find ..."
https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=224014236,"L'Oreal East Africa Ltd. manufactures and markets hair care and hairstyling 
products in Kenya, Uganda, Tanzania, Rwanda, Burundi, and Ethiopia."
https://home.kpmg.com/ke/en/home.html,"Do you agree to the use of cookies as outlined in KPMG East Africa's privacy statement.
 ... KPMG 2017/2018 East Africa Budget Analysis.
 On 8 June 2017, the Ministers of Finance for Tanzania, Uganda and Rwanda presented their country’s budgets for the fiscal year 2017/2018 to their ..."
https://www.kenyaplex.com/business-directory/30216-united-textile-industry-kenya-ltd-the--thika.aspx,"United Textile Industry(Kenya) Ltd, The , Thika. Address:Thika; City/Town: Thika; 
Telephone Number: +254-067-21619; Email Address: Website: Category: ..."
https://www.simbacorp.com/,"Simba Corporation is an integrated business group headquartered in Nairobi, Kenya with controlling interests in such diversified fields as motor sales and service, hospitality, investment and financial services.VEHICLES THAT SUIT YOUR MOOD. Simba Corp offers you a ...Simba Corporation has grown from a modest used-car selling ...Careers. Simba Corporation's roots are deeply entrenched in ...Home Simba Corporation News & Events Contact Us Careers ...Home; Simba Corporation; Team ... years where he was the ...Terms and Conditions. Your use of the website. You agree that your ..."
https://www.kemri.org/,"NELLY MUGO, PUSHING THE PrEP AGENDA IN KENYA 2017-04-20 13:37:00 
... of the Sexual Reproductive Adolescent Child Health Research (SRACH)."
https://www.simbacorp.com/,"Simba Corporation began as one of Kenya's most successful indigenous 
commercial organizations with a very rich heritage in motor vehicle sales and 
service.VEHICLES THAT SUIT YOUR MOOD. Simba Corp offers you a ...Simba Corporation has grown from a modest used-car selling ...Careers. Simba Corporation's roots are deeply entrenched in ...Home Simba Corporation News & Events Contact Us Careers ...Home; Simba Corporation; Team ... years where he was the ...Terms and Conditions. Your use of the website. You agree that your ..."
http://trufoods.biz/,"Trufoods started business back in 1958 and initially focused on contract 
manufacturing for multi-nationals involved in agribusiness such as Brooke Bond.Registered Company Name: TRUFOODS LTD. Postal ...At least, that's our belief at Trufoods! We're ... convenient ...Sweet beginnings. Trufoods started business back in 1958 ...Trufoods Ltd ... ZESTA PREMIUM JAMS & MARMALADES ...Kindly email your CV and Cover Letter to careers@trufoods.biz ...Due to strict selection of quality produce and 'soft' processing ..."
http://www.tilecentre.com/,"Kenya's premier one-stop-destination when it comes to building and interior 
products – for architects, interior designers, developers and homemakers alike."
http://www.serenahotels.com/serenanairobi/default-en.html,"Nairobi Serena Hotel official site. Book your stay at the finest luxury hotel in 
Nairobi. Nairobi Serena Hotel is ideally located in the city centre and features a 
spa ..."
http://biselex.co.ke/,"Biselex Kenya Limited. Water where you need it! ... Biselex provides access to 
water through provision of water infrastructure and services. BOREHOLE ...Contacts//. Feel free to get in touch with us. BISELEX KENYA ...We have borehole equipping tools, truck-mounted hydraulic winch ...The Biselex Kenya Limited is a national Company that provides ...We offer several core services including: 1) Borehole test ..."
http://ungagroup.com/about-us-unga-farm-care-limited/,"Unga Farm Care (EA) Limited is the region's leading manufacturer and marketer 
of a broad portfolio of quality Animal Nutrition and Health products. This."
http://www.dhanushinfotech.com/,"Dhanush Infotech is a global IT services and solutions company with focus on 
enterprise product development, enterprise applications, system integration, 
cloud ...Home | Contact. Contact Us. Thank you for your interest in Dhanush ...Careers. Our attitude reflects on our work and our work reflects ...Current Openings. Professionals who are part of the Dhanush ...Dhanush Infotech, founded in 2006 and based in Hyderabad ..."
https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=10050531,"Allpack Industries Limited manufactures and supplies corrugated cartons and 
polypropylene woven bags. The company offers corrugated cartons, including ..."
http://kura.go.ke/,"Kenya Urban Roads Authority (KURA) is a State Corporation under the Ministry 
of Transport and Infrastructure established by the Kenya Roads Act, 2007 with ...TENDER NOTICE FOR ROAD MARKING · TENDER NOTICE ...... Projects · Tenders · Staff Mail · Careers · Maps · Downloads ...Click here to view the current Job Vacancies. Download job ...TENDER NOs. ADDENDUM, REGISTRATION CATEGORY ...Kenya Urban Roads Authority twitter @KURAroads. Regional ...Home · Projects · Tenders · Staff Mail · Careers · Maps ..."
https://www2.deloitte.com/th/en/footerlinks/office-locator/thailand/deloitte-consulting-ltd.html,"Thailand office. Deloitte Consulting Ltd. In Thailand, services are provided by 
Deloitte Touche Tohmatsu Jaiyos Co. Ltd and its subsidiaries and affiliates."
